RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude,lat,long
20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA497UN,126680,661400,55.768473,-6.359365
21,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA467RR,142210,673170,55.882475,-6.123657
22,CaolIla,3,1,4,2,1,0,2,0,2,1,1,1,PA467RL,142920,670040,55.854804,-6.109369
23,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,AB387RY,318790,843090,57.470774,-3.355645
24,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,KW96LB,290250,904230,58.013647,-3.859208
25,Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,AB389ST,328920,844920,57.488911,-3.187328
26,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB379AB,316600,836370,57.410031,-3.389855
27,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,AB387RE,323520,841010,57.452918,-3.276155
28,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,IV170UT,266610,868730,57.688561,-4.239120
29,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,PH191AB,263670,785270,56.938563,-4.242293
30,Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK166AG,271570,701570,56.189376,-4.071064
31,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB554BR,332360,839200,57.438068,-3.128374
32,Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH165JP,295960,757940,56.701543,-3.700736
33,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,AB43JT,372120,860400,57.632679,-2.468547
34,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,IV303SL,322640,861040,57.632641,-3.297193
35,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,AB510ES,381020,827590,57.338432,-2.316943
36,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,AB387BS,327610,849570,57.530463,-3.210557
37,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,AB553BU,340754,848623,57.523872,-2.990865
38,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4,IV301YE,319820,862320,57.643642,-3.344829
39,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2,IV67UJ,251810,850860,57.523564,-4.476185
40,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1,PA286DS,172090,621010,55.429810,-5.603737
41,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2,AB387AU,327760,849140,57.526625,-3.207925
42,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,AB389LR,326490,841240,57.455475,-3.226744
43,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,AB546DA,361200,844930,57.492920,-2.648927
44,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,AB554DJ,333000,840300,57.448042,-3.118017
45,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,AB379BD,320950,838160,57.426884,-3.318049
46,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,AB554DH,332680,840840,57.452844,-3.123497
47,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,G639LB,252810,682750,56.015002,-4.362706
48,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,EH345ET,344380,666690,55.890117,-2.890845
49,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,AB379DB,319560,828780,57.342405,-3.338116
50,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,IV303SS,322640,861040,57.632641,-3.297193
51,Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,IV191PZ,276750,883450,57.823585,-4.076735
52,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,AB387AA,327650,849170,57.526877,-3.209770
53,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,PH74HA,285630,723580,56.390603,-3.854194
54,HighlandPark,2,2,3,1,0,2,1,1,1,2,1,1,KW151SU,345340,1009260,58.966865,-2.9524375
55,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,AB565AB,342610,863970,57.661944,-2.963520
56,IsleofJura,2,1,2,2,0,1,1,0,2,1,1,1,PA607XT,152660,667040,55.833006,-5.951428
57,Knochando,2,3,1,0,0,2,2,1,2,1,2,2,AB387RT,319470,841570,57.457246,-3.343810
58,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,PA427DZ,140430,645730,55.635614,-6.125946
59,Laphroig,4,2,4,4,1,0,0,1,1,1,0,0,PA427DU,138680,645160,55.629569,-6.153129
60,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,IV303RD,322640,861040,57.632641,-3.297193
61,LochLomond,1,1,1,1,0,1,1,0,1,2,1,2,G830TL,239370,680920,55.994260,-4.576973
62,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,IV303SJ,322640,861040,57.632641,-3.297193
63,Macallan,4,3,1,0,0,2,1,4,2,2,3,1,AB389RX,327710,844480,57.484768,-3.207376
64,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,IV303SS,322640,861040,57.632641,-3.297193
65,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,IV303TQ,322640,861040,57.632641,-3.297193
66,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,AB554AQ,332950,839850,57.443993,-3.118727
67,Oban,2,2,2,2,0,0,2,0,2,2,2,0,PA345NH,185940,730190,56.415259,-5.471833
68,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1,AB301YE,370860,772900,56.846626,-2.479332
69,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,KW15BA,336730,950130,58.434884,-3.085261
70,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,IV125QY,286040,851320,57.537610,-3.905230
71,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,AB355TB,326140,794370,57.034488,-3.218602
72,Scapa,2,2,1,1,0,2,1,1,2,2,2,2,KW151SE,342850,1008930,58.5747, -2.59594 
73,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,AB387AG,326930,851430,57.547057,-3.222469
74,Speyside,2,2,1,0,0,1,0,1,2,2,2,2,PH211NS,278740,800600,57.080387,-4.002174
75,Springbank,2,2,2,2,0,2,2,1,2,1,0,1,PA286EJ,172280,620910,55.429001,-5.600659
76,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,AB553BS,340754,848623,57.523872,-2.990865
77,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,AB555DQ,342650,850500,57.540974,-2.959656
78,Talisker,4,2,3,3,0,1,3,0,1,2,2,0,IV478SR,137950,831770,57.301051,-6.352166
79,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,AB387RP,319210,841760,57.458906,-3.348205
80,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,AB379JA,321180,826110,57.318711,-3.310355
81,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,IV170XB,265360,869120,57.691688,-4.2605172
82,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,PA756NR,150450,755070,56.620806,-6.069530
83,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,IV137YT,279120,829630,57.341101,-4.010031
84,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,AB379AQ,315100,825560,57.312680,-3.411083
85,Tormore,2,2,1,0,0,1,0,1,2,1,0,0,PH263LR,315180,834960,57.397107,-3.412996
86,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,PH41QG,289690,708850,56.259296,-3.782289
